date,unemployment,change_radius_gyr_time,change_entropy_of_places_time,change_C,change_A,change_D
2020-04-11,0,-45.698884397168406,-59.63490020489455,-30.589947334283764,-23.613155580845717,118.59515834834227
2020-04-12,0,-47.91240574974044,-63.13624946641567,-32.561257586088544,-30.002428563407662,95.26541559659717
2020-04-12,1,-58.89758278919955,-80.95282024120156,-45.564355754491125,-45.17406594456575,89.65137861929492
2020-04-13,1,-60.63171653222652,-83.02608832624765,-47.52160987903196,-67.29342483550585,59.274911070608574
2020-04-13,0,-50.673945209721595,-65.30822655651166,-34.674240900123635,-60.89426711447945,63.94586891236076
2020-04-14,1,-62.14031080362075,-84.40989901520817,-49.10244375874249,-62.07209914773147,32.913662695624964
2020-04-14,0,-51.659418134981436,-66.5085083551597,-35.99236187181939,-46.61321571531339,39.43756455086429
2020-04-15,0,-52.51420201465535,-67.49760019474526,-36.89229323219649,-42.4121661693978,19.870211337007976
2020-04-15,1,-62.97434100277829,-85.40713592007548,-50.0688817793762,-56.725280470525384,11.76289115068397
2020-04-16,0,-53.23693702168415,-68.61298686680031,-37.60429977601381,-36.76969035182345,16.991519313798733
2020-04-16,1,-63.517636277952306,-86.18201261575666,-50.89876289515505,-50.48346805133995,6.506210298714798
2020-04-17,1,-63.85168737737603,-86.71164294918107,-51.47519745960936,-50.592927444539434,-11.09922237002047
2020-04-17,0,-53.61464773501717,-69.17386627083172,-38.03069776136753,-34.47881598641472,1.4606367461577991
2020-04-18,1,-63.876109569799326,-86.96121360459288,-51.3421213645132,-37.81690932042951,-26.745959514043577
2020-04-18,0,-53.99412767964582,-69.78110890153447,-37.75989194358025,-19.396360117228948,-17.161661819156233
2020-04-19,1,-63.701509801896094,-86.84896894580434,-50.79202275635924,-32.96115489469615,-49.712634410902076
2020-04-19,0,-53.79838570762758,-69.64389838389071,-36.90925509535393,-14.691585642826196,-43.06567812539454
2020-04-20,1,-63.809942152581264,-86.89654841759904,-50.7249411381179,-46.59233269805612,-33.01425174868129
2020-04-20,0,-54.10252311454896,-69.64903682906696,-36.82082211235854,-34.92113828082635,-26.62480297357244
2020-04-21,0,-54.157152976361566,-69.73164260704337,-36.61758882424099,-27.000718441302876,-23.150798511651367
2020-04-21,1,-63.74749096370422,-87.02887428257242,-50.675207287183106,-43.35476856642018,-35.21029352756999
2020-04-22,1,-63.931661986831024,-87.04920885894657,-50.53371359746569,-44.20291326928778,-41.55126768014041
2020-04-22,0,-54.15636336954649,-69.58566032611166,-36.36184529457729,-28.837970850727164,-27.987303585727442
2020-04-23,1,-63.8398737357628,-87.00208258182694,-50.0938218451176,-43.420331943457164,-46.80997923243523
2020-04-23,0,-54.14835864760248,-69.6211708162522,-36.049669650901365,-27.50308720997928,-31.86383442310978
2020-04-24,0,-54.033191094981305,-69.518045774618,-35.79209323733396,-33.135292167361044,-33.699628091537114
2020-04-24,1,-63.72083782057293,-86.97209461355155,-49.95181003202772,-49.081561346348366,-46.77049679451735
2020-04-25,0,-53.439080283352915,-69.11050497009144,-35.31899606233342,-13.27361045179396,-23.0149231072298
2020-04-25,1,-63.42422078605183,-86.68100676354452,-49.3975333741637,-32.8667403551698,-43.03033806018045
2020-04-26,1,-62.68010750207599,-86.35574167467993,-48.73823061757018,-21.490986255429775,-44.3044812422786
2020-04-26,0,-52.392092514652155,-68.17358665684625,-34.50248053003533,-5.419605005956039,-30.42271227977312
2020-04-27,1,-62.09137987435716,-85.9575369048084,-48.27380359970729,-46.513621718068975,-54.51491891118218
2020-04-27,0,-51.80163930671643,-67.50535131880255,-34.05554589705172,-32.96396099701988,-43.92033444231557
2020-04-28,1,-61.89995942415622,-85.77073157162367,-47.770804426016994,-43.05109897965603,-51.59783794982684
2020-04-28,0,-51.62246726325787,-66.78903628911317,-33.534563879337384,-25.476157424315684,-39.655548136883105
2020-04-29,0,-51.50157755815299,-66.28774914801923,-32.99007701031999,-23.206229418507398,-37.69450322972673
2020-04-29,1,-62.12761982368649,-85.57432163180026,-47.312349995972966,-38.89984369061097,-51.709903491954336
2020-04-30,0,-51.21028353277346,-65.95565240911341,-32.452508085075024,-23.63162132869358,-38.16488188226016
2020-04-30,1,-61.5617439350006,-85.31792913893088,-46.62278253748838,-41.67876840095062,-52.2524132055435
2020-05-01,1,-61.161653144442106,-85.0612344205653,-46.079146567825454,-42.0945653313921,-54.04392096856976
2020-05-01,0,-50.87362313689001,-65.42880670403117,-31.88412187062846,-25.647337219582642,-40.45075754797796
2020-05-02,1,-60.26772800236466,-84.30769718480904,-45.1697127307664,-12.457738742322755,-38.13235598250878
2020-05-02,0,-49.88622772216031,-64.34954258977244,-31.051457809312502,4.455884946006893,-22.104922590358026
2020-05-03,1,-58.56680813020342,-83.41206207280236,-44.35346038557374,-8.625451150623974,-39.03536005735165
2020-05-03,0,-47.87655762922497,-62.94851882484942,-29.951839818626695,8.770235391356145,-28.78359884259091
